timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2018-04-01,116.05,118.38,109.03,114.74,113209.88408,1522627199999,12890391.8863243,35748,56043.1862,6385693.3887758,0
2018-04-02,114.97,121.71,113.54,119.05,91168.44423,1522713599999,10788172.8810421,27432,45883.25756,5431137.2532494,0
2018-04-03,119.03,137.25,118.0,134.04,139283.4273,1522799999999,17832887.3402674,41708,71195.95966,9100773.4854375,0
2018-04-04,133.82,134.77,115.2,118.07,168974.9795,1522886399999,20675256.3011942,51911,78433.91084,9616291.9339741,0
2018-04-05,118.01,122.5,113.63,118.26,125611.59831,1522972799999,14846290.0853157,39718,62049.96342,7341418.6518519,0
2018-04-06,118.41,120.15,111.31,112.79,83137.97172,1523059199999,9505959.6845077,25277,37526.14367,4287167.4735931,0
2018-04-07,112.7,119.72,112.19,115.8,73178.28817,1523145599999,8566752.716085,23798,40377.16106,4727253.9056596,0
2018-04-08,115.8,118.49,115.34,117.55,42540.37579,1523231999999,4974656.4731248,16718,21030.42335,2461313.1762628,0
2018-04-09,117.8,122.99,112.48,114.79,98639.79044,1523318399999,11532234.0797271,30073,44039.4826,5153743.9976636,0
2018-04-10,114.62,115.26,111.25,114.25,54554.53212,1523404799999,6206852.1414788,17673,26857.86969,3058234.5570377,0
2018-04-11,114.25,119.59,112.92,118.4,62636.41007,1523491199999,7213019.4088165,19511,30698.81459,3538005.627785,0
2018-04-12,118.4,130.9,112.92,129.67,232191.22828,1523577599999,28190785.7506257,65320,125324.70288,15235887.0289685,0
2018-04-13,129.62,133.98,123.55,125.1,187842.6214,1523663999999,24181800.3331126,50478,92209.01917,11884578.3821339,0
2018-04-14,125.28,129.71,124.0,126.4,77108.42942,1523750399999,9769310.9978311,138315,37623.54085,4772904.9063953,0
2018-04-15,126.4,132.99,126.4,132.45,61105.32594,1523836799999,7961965.4857982,18549,31087.18574,4052608.6794138,0
2018-04-16,132.45,133.49,124.88,128.96,86544.7505,1523923199999,11079471.4220603,21422,39332.08196,5030155.6490236,0
2018-04-17,128.76,140.5,128.73,132.09,165601.88021,1524009599999,22412227.673706,42354,84527.40941,11439490.3835159,0
2018-04-18,132.1,141.43,131.5,140.36,100942.78845,1524095999999,13851175.1481397,26882,49319.41236,6765414.4296506,0
2018-04-19,140.36,147.48,138.51,146.71,97431.94319,1524182399999,13912412.5567414,28013,48511.84064,6932582.9196429,0
2018-04-20,146.5,156.49,142.62,155.71,139102.83366,1524268799999,20855523.2936825,40989,66532.93312,9979120.6883734,0
